Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Unnamed: 0,Title,Release Date,Team,Rating,Number of Reviews,Genres,Summary,Reviews,Plays,Playing,Backlogs,Wishlist,weighted_rating,Backlog_Wishlist_Ratio,Release_Year
1,wii sports,Wii,2006.0,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74,141,wii sports,2006-11-19,"Nintendo , Nintendo EAD Group No. 2",3.7,775.0,"Simulator , Sport","Bowl like a pro or go for that home run...
              
              Experience Tennis, Baseball, Golf, Bowling and Boxing as you never did before. Thanks to the Wii Remote, each sport will be immediately familiar and easy to play. And, when you feel ready, challenge your friends and family: everybody will be in for some serious Wii Sports fun!","the perfect arcade game. another type of game theyll never make again. the only sports i care about i used to work in a nursing home that had a wii bowling league, and a team of 5 ladies who we actually recorded and submitted to a national tournament. so shout out to dot and her perfect game, and to the wonderful team in 2013, you all did great best game ever i really love it slay if you have touched a controller you probably already know what this is and have already played it. i personally never got the hype and preferred wii play back in the day but maybe thats just me being a player and not a gross sportser. the ost do be raw tho one of the best party games, and a solid single player game",18000.0,39.0,320.0,93.0,3.6831697222278943,3.4408602150537635,2006
2,super mario bros.,Nes,1985.0,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24,75,super mario bros.,1985-09-13,"Nintendo , Nintendo R&D4",3.5,1500.0,"Adventure , Platform","A side scrolling 2D platformer and first entry in the Super Mario franchise, Super Mario Bros. follows Italian plumber Mario as he treks across many levels of platforming challenges featuring hostile enemies to rescue Princess Peach from the evil king Bowser.","i actually had no idea this game was so long, i tought it only had like 4 worlds, now i understand why this was so revolutionary back in the day. cant deny i had a good time with it, beat it in around 1 and a half hour, using save states, because this must have been a burden to finish in 1985 cant deny that the game did a lot for the platformer genre, but nowadays i dont really consider it anything special. but it has the most iconic first stage of any platform game ever. entendo a importância desse jogo pra industria mas não, ele definitivamente não é bom. best 6 minutes ever i mean aye sure. 11 is five stars for being iconic. fases quase todas iguais  mesmos chefões em todos os mundos  poucos power ups  pouca variedade no geral",18000.0,59.0,733.0,237.0,3.5352776109148296,3.0928270042194095,1985
3,mario kart wii,Wii,2008.0,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82,143,mario kart wii,2008-04-10,"Nintendo , Nintendo EAD",3.9,1000.0,Racing,"Mario Kart Wii is a multiplayer-oriented racing game for the Wii, and the sixth main installment in the Mario Kart series. Mario Kart Wii retains the traditional item-based weaponry familiar with the franchise, where players can select a Mario franchise driver and themed vehicles. As with most racing games, the overarching goal is to place first among other competitors, through the usage of such items and taking the fastest routes to secure the leads. Several new key elements introduced to Mario Kart Wii include increasing the number of racers to 12 racers from 8 racers from previous entries in the series, as well as introducing a new type of vehicle to the franchise: bikes. The game takes advantage of features unique to the Wii, most notably its motion control capabilities. A Wii Wheel is included in most Mario Kart Wii packages, though the game is still compatible with other controllers. Game modes are also present such as the traditional Grand Prix, Versus, Battle, and Time Trial modes.","completed to fulfill a childhood dream and its genuinely fun racing. grand prix mode can be infuriating if youre trying to get star ratings though the worst mario kart. the sort of thing a reprobate would come up with for fun. motion controls can die. solid mariokart entry but i always found myself going back to double dash. skill issue its the wii one everyones played this one its a fun mario kart, i dont really like the motion controls but it does have funky kong funky music too i used to deeply dislike mario kart wii. the controls felt unresponsive and wrong and the item balancing seemed nonexistent to me.",19000.0,88.0,461.0,168.0,3.8241011278286714,2.744047619047619,2008
6,tetris,Gb,1989.0,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26,236,tetris,1989-11-01,Nintendo,4.1,688.0,"Arcade , Puzzle","Tetris is a tile-matching puzzle video game. The goal is to place pieces made up of four tiles in a ten-by-twenty well, organizing them into complete rows, which then disappear. The main objective of each round is to clear 25 lines, after which the player moves on to the next round. If the stack reaches the top of the field, the player loses a life, and if all three lives are lost, the game is over.
             

              The game lets the player choose the starting stage and round, as well as one of three background tunes. Difficulty is increased throughout the stages by an increase in speed and the addition of garbage blocks in the well.","fucking love tetris. timeless game. a great colorful port of the arcade classic, featuring two game modes. hard tetris game to go wrong with, albeit not as iconic as the game boy version. the atype is your classic endless game of tetris, and the btype involves clearing a certain amount of garbage blocks. plays by asshole tetris rules, where blocks are pure random so you can get completely screwed by rng. my major gripe with this game is the controls. moving blocks left to right is very slow and it feels like the blocks rotate in a way where i keep accidentally misplacing them. no hard drops either. i respect the people that play this competitively for learning how to master the controls, because i sure as hell had a hard time. getting the ending of the game by clearing a level 9 speed 5 height b game is a total crap shoot due to the rng of what blocks you get and the arrangement of the garbage blocks, so just stick to the agame. not my favorite version of tetris but still does the job. hoooooly fuuuuuck bem simples mas exige bastante estratégia e sorte, mesmo não curtindo muito seu gênero consigo me divertir um pouquinho, vale a pena jogar pelo valor histórico. httpsyoutu.be80rtbeb61le",9600.0,54.0,175.0,66.0,3.924559286455254,2.6515151515151514,1989
7,new super mario bros.,Ds,2006.0,Platform,Nintendo,11.38,9.23,6.5,2.9,30.01,160,new super mario bros.,2006-05-15,Nintendo,3.5,991.0,"Adventure , Platform","New Super Mario Bros. is a side-scrolling 2.5D action-adventure platformer game for the Nintendo DS, starring Mario and Luigi. The game features a solo story mode with Mario or Luigi, a two-player wireless game Mario Vs. Luigi, as well as a minigame mode for up to four players. The gameplay of New Super Mario Bros. is very much like that of the classic 2D platformers, mostly Super Mario Bros. and Super Mario Bros. 3, and substantially builds upon them to create gameplay both classic and contemporary. As the game is on DS, the touch screen allows players to store an additional power-up and view the distance still to go in a level.","fun game with fun power ups. i just wish these new super mario bros games used different sounds from game to game. this one feels a lot different than the wii u one as far as the levels go but it sounds exactly the same so it tricks my brain into it feeling even less standout than it already is. this scratched my mario itch though so good job guys who made this. laughed til i cried griefing my friends both accidentally and intentionally. please play with friends, its so much better eu nao costumo jogar jogo de plataforma,pq primeiro q sou ruim e segundo q geralmente me deixa puto. é divertido,mas vou te falar viu. a pessoa q fez o castelo do bowser com aquele corredor infinito merece um cacete e nao só isso,como tbm por ter feito a batalha final ser contra o tempo. cant say i remember too much about this one, but it started a war and now we will never get another 2d mario game again. thanks nintendo. i sincerely believe that people would like new super mario bros. a lot more if we hadnt gotten three god damn sequels. because by its own merits, this one is super unique and creative. sure, the general world ideas are kinda boring grass, desert, ice etc, but the leveldesign is absolutely top notch. its still not mind blowing but its kinda insane how much of a glowup this is compared to what we got in the good old days and how well it still holds up in general",16000.0,108.0,824.0,287.0,3.5477732991233535,2.8710801393728222,2006
9,new super mario bros. wii,Wii,2009.0,Platform,Nintendo,14.59,7.06,4.7,2.26,28.62,212,new super mario bros. wii,2009-11-12,"Nintendo , Nintendo EAD",3.5,859.0,"Adventure , Platform","New Super Mario Bros. Wii is a side-scrolling 2.5D Mario platformer for the Wii and the tenth game in the Super Mario series. In addition to the single-player experience, New Super Mario Bros. Wii also features a multiplayer mode for up to four players. This is the first Super Mario game to feature co-op and vs. modes at the same time since Mario Bros. It features more items, new levels, and more enemies than the DS predecessor. The game introduces two new power-ups, the Propeller Mushroom and the Penguin Suit, which turn characters into their propeller and penguin forms, respectively.","man why they gotta leave weegee out of the balloon i remember playing this with friends a lot, and its very nostalgic for me. the disc eventually stopped playing a few minutes into the game, but it was loved. i will never forgive this game for starting the whole wiiwii u mario blandness era. new super mario bros. ds was fun, unique and creative. this one makes me shudder in disgust, because it was the first of what would be three new super mario bros. sequels. it represents everything wrong with the boring age of mario games in the late 2000searly 2010s. its very in character for 2d mario to pump out something thats actually super good then immediately ruin it by taking inspiration from some of my least favorite places in the franchise 80 memories",13000.0,85.0,696.0,241.0,3.5526055408737616,2.887966804979253,2009
12,mario kart ds,Ds,2005.0,Racing,Nintendo,9.81,7.57,4.13,1.92,23.42,945,mario kart ds,2005-11-14,Nintendo EAD Group No. 1,3.8,857.0,Racing,"Mario Kart DS is the continuation of the long running racing game series that began on the Super Nintendo. It features 16 new tracks as well as 16 tracks from the previous 4 games, with each set split up into the Nitro and Retro Grand Prix respectively. Eight racers are initially available, each with two go-karts to choose from. A number of characters and additional karts are also available to unlock. New items have been added to the arsenal, including a Blooper squid that squirts ink onto the screens of other players and a Bullet Bill power up that transforms the player into a giant, fast-travelling bullet on autopilot.","i talk mostly about genesis shit on here but my real bb in early childhood were portables. my fam was homeschooled til college, and for most of my early childhood, my older sister was a figure skater. the skater training regimen is a pipeline unto itself, these coaches had our mom driving her 40 minutes out of town at 5 in the morning multiple times a week. so until i was 11 or so, i spent the majority of school hours sitting in a cold rink lobby, either doing school or playing gbads. bring back r.o.b and missions i ran out of double dash so i played this and now i ran out of ds.. ds is probably my favorite. it feels nicely balanced and pure and i like a lot of tracks in it. also a lot of single player content childhood joy xx distinctly remember feeling cooler than everyone for unlocking drybones when i was a kid i cant affirmate anything cuz could not have the opportunity to play the multiplayer, looks well made but i did not have the whole expierence, i may change the score in the future...",15000.0,36.0,417.0,159.0,3.7500001771605973,2.6226415094339623,2005
17,grand theft auto v,Ps3,2013.0,Action,Take-Two Interactive,7.01,9.27,0.97,4.14,21.4,23,grand theft auto v,2013-09-17,"Rockstar North , Rockstar Games",3.8,2100.0,"Adventure , Shooter","Grand Theft Auto V is a vast open world game set in Los Santos, a sprawling sun-soaked metropolis struggling to stay afloat in an era of economic uncertainty and cheap reality TV. The game blends storytelling and gameplay in new ways as players repeatedly jump in and out of the lives of the game’s three lead characters, playing all sides of the game’s interwoven story.","people be rating this a 3.... bitch be serious incredible spectacle and movie esque cutscenes backed up by memorable characters. inarguably one of the most recognizable games of the decade, however is held back by lackluster gameplay. bom jogo, importante pra caramba e tudo mais, mas, sinceramente, tantas horas de gameplay me divertiram muito, mas me recepcionaram na história. não que eu eu esperasse algo muito elaborado, mas senti que não foi conclusiva ou evoluísse os personagens. é divertido, muito mesmo, e a liberdade é ótima. passei muito tempo jogando tênis, dirigindo pelas colinas, fazendo coisas aleatórias, e a experiência é ótima. em pleno começo de 2023, talvez não seja lá grande coisa jogar um jogo assim no sentido de muita coisa legal pra fazer, mas na época era uma baita inovação e merece respeito pelo que até hoje impressiona. i cannot picture a world where someone gives this less than a 10 i really wanted to love this game more. the playing world is stunning with colorful and great recreations of actual locations and landmarks. having to juggle between 3 characters is a brilliant idea. but i found the story to be a bit lackluster and overall i did not feel as involved with the protagonists as much as i was with the previous game. jogo para desligar o cérebro e matar polícias",30000.0,829.0,3200.0,664.0,3.7744109312019867,4.819277108433735,2013
18,grand theft auto: san andreas,Ps2,2004.0,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,85,grand theft auto: san andreas,2004-10-26,"Rockstar Games , Rockstar North",4.1,1500.0,"Adventure , Racing , Shooter","Returning after his mother's murder to the semi-fictional city of Los Santos (based on Los Angeles), Carl Johnson, a former gang banger, must take back the streets for his family and friends by gaining respect and once again gaining control over the streets. However, a story filled with crime, lies and corruption will lead him to trudge the entire state of San Andreas (based on California and Nevada) to rebuild his life.","i thank this game for my childhood introduction to classic rock. top 5 games of all time 3 stars just for samp mod. jogava mais pra ficar explodindo os outro o modo historia nunca me chamou a atenção ill have two number 9s, a number 9 large, a number 6 with extra dip, a number 7, two number 45s, one with cheese, and a large soda. i could happily spend the entire game just shopping in binco and suburban.",19000.0,270.0,2400.0,742.0,3.9977647640494642,3.234501347708895,2004
19,super mario world,Snes,1990.0,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61,68,super mario world,1990-11-21,"Nintendo , Nintendo EAD",4.2,2100.0,"Adventure , Platform","A 2D platformer and first entry on the SNES in the Super Mario franchise, Super Mario World follows Mario as he attempts to defeat Bowser's underlings and rescue Princess Peach from his clutches. The game features a save system, a less linear world map, an expanded movement arsenal and numerous new items for Mario, alongside new approaches to level design and art direction.","muito bom, um dos melhores plataformas e jogos do super nintendo. muito revolucionário para sua época. eu só zerei rapidão pelo caminho da estrela, mas esse jogo continua foda. óbvio, não é meu mario favorito, mas ele continua fodastico, um dos melhores jogos de plataforma 2d. i love mario games so much. i love super mario worlds music, art, mechanics, level design, enemies...everything. this is just a nice game i could play with a friend watching or even as player 2, and it makes me happy. tão bom quanto o bros 3 principalmente na música mas, o estilo do 3 e algumas outras coisas ainda me fazem preferir ele. longreview short masterpiece. a timeless classic. it might not be as shiny and frantic as its biggest competition at the time sonic the hedgehog, but its depth, size and replayability made it stand out. still one of the all best in the mario series.",18000.0,218.0,1700.0,460.0,4.104340232066087,3.6956521739130435,1990
23,super mario bros. 3,Nes,1988.0,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28,126,super mario bros. 3,1988-10-23,"Nintendo R&D4 , Nintendo",4.0,1600.0,Platform,"Super Mario Bros. 3, the third entry in the Super Mario Bros. series and Super Mario franchise, sees Mario or Luigi navigate a nonlinear world map containing platforming levels and optional minigames and challenges. The game features more diverse movement options and new items alongside more complex level designs and boss battles.","i remembered i beat it with warps i first played the gba version when i was about 4 years old. still havent beaten bowser. i have tried many times literal pegar tudo que deu certo melhorar ainda mais e adicionar mais coisas novas tão incríveis quanto fez desse o melhor mario 2d até agora pra mim. fiz 100 e amei. an absolute classic and one of the alltime best, if not the alltime best, mario platformers. its shocking how the mainline mario series trailblazed so hard for the platformer genre and games as a whole in just its first few entries. the level themes may seem standard now but its important that this was the first major game to do the whole grassdesertwatersnowlava, etc. thing. honestly a contender for best nes game period and absolutely holds up the most. my only complaint is that upon a replay, the levels were a lot shorter than i remembered and i wish some of the really cool powerups hammer suit werent so hidden. the best part of smb3 is throwing a hammer at boomboom and having it make a million damage noises as it hits him, making it sound like youve harmed him so badly that youve retroactively deleted his entire lineage from history.",14000.0,109.0,1400.0,362.0,3.9245602301272036,3.867403314917127,1988
24,grand theft auto v,X360,2013.0,Action,Take-Two Interactive,9.63,5.31,0.06,1.38,16.38,23,grand theft auto v,2013-09-17,"Rockstar North , Rockstar Games",3.8,2100.0,"Adventure , Shooter","Grand Theft Auto V is a vast open world game set in Los Santos, a sprawling sun-soaked metropolis struggling to stay afloat in an era of economic uncertainty and cheap reality TV. The game blends storytelling and gameplay in new ways as players repeatedly jump in and out of the lives of the game’s three lead characters, playing all sides of the game’s interwoven story.","people be rating this a 3.... bitch be serious incredible spectacle and movie esque cutscenes backed up by memorable characters. inarguably one of the most recognizable games of the decade, however is held back by lackluster gameplay. bom jogo, importante pra caramba e tudo mais, mas, sinceramente, tantas horas de gameplay me divertiram muito, mas me recepcionaram na história. não que eu eu esperasse algo muito elaborado, mas senti que não foi conclusiva ou evoluísse os personagens. é divertido, muito mesmo, e a liberdade é ótima. passei muito tempo jogando tênis, dirigindo pelas colinas, fazendo coisas aleatórias, e a experiência é ótima. em pleno começo de 2023, talvez não seja lá grande coisa jogar um jogo assim no sentido de muita coisa legal pra fazer, mas na época era uma baita inovação e merece respeito pelo que até hoje impressiona. i cannot picture a world where someone gives this less than a 10 i really wanted to love this game more. the playing world is stunning with colorful and great recreations of actual locations and landmarks. having to juggle between 3 characters is a brilliant idea. but i found the story to be a bit lackluster and overall i did not feel as involved with the protagonists as much as i was with the previous game. jogo para desligar o cérebro e matar polícias",30000.0,829.0,3200.0,664.0,3.7744109312019867,4.819277108433735,2013
25,grand theft auto: vice city,Ps2,2002.0,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,965,grand theft auto: vice city,2002-10-27,"Rockstar Games , Rockstar North",3.8,1000.0,"Adventure , Arcade , Racing , Shooter","In the year 1986, Tommy Vercetti is heavily indebted to his mafia superiors after a drug deal gone awry, but his dreams of taking over Vice City (based on Miami) push him down a different path. Featuring a wide variety of vehicles and weapons, radio stations playing hit songs from the era and an intense atmosphere, GTA: Vice City is an open-world sandbox satire of '80's Miami.","aged like milk is the first phrase that comes to mind. everything from the controls to the visuals have aged terribly and theres nothing to gain from playing this anymore. игра детства. пройденная несколько раз. сейчас решил окунутся в прошлое и прохожу версию gta vanilla vice в которой подправили мелкие баги, но не нарушили атмосферу той самой vice city panzer vice city my beloved iconic dumb. florida. moron. best gta game.",12000.0,125.0,1600.0,526.0,3.754944834605988,3.041825095057034,2002
30,call of duty: modern warfare 3,X360,2011.0,Shooter,Activision,9.03,4.28,0.13,1.32,14.76,293,call of duty: modern warfare 3,2011-11-08,"Sledgehammer Games , Activision",3.2,587.0,"Adventure , Shooter , Tactical","Call of Duty: Modern Warfare 3 is a first-person shooter video game, developed by Infinity Ward and Sledgehammer Games (Treyarch for the Wii version), with Raven Software having assisted in development and published by Activision.","super overhated again xbox 360 was really fun juego 55. digan lo que digan, considero este un digno y muy épico final de la trilogía, supo aprovechar los cambios de la historia y de finalizarla de forma muy emocionante y frenética, 141 por siempre d 2nd best cod. survival lowkey better than zombies only played few sessions online with friends the cod of my childhood",10000.0,27.0,492.0,195.0,3.3959827984900857,2.523076923076923,2011
