Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1,wii sports,Wii,2006.0,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74
2,super mario bros.,Nes,1985.0,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24
3,mario kart wii,Wii,2008.0,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82
4,wii sports resort,Wii,2009.0,Sports,Nintendo,15.75,11.01,3.28,2.96,33.0
5,pokemon red/pokemon blue,Gb,1996.0,Role-Playing,Nintendo,11.27,8.89,10.22,1.0,31.37
6,tetris,Gb,1989.0,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26
7,new super mario bros.,Ds,2006.0,Platform,Nintendo,11.38,9.23,6.5,2.9,30.01
8,wii play,Wii,2006.0,Misc,Nintendo,14.03,9.2,2.93,2.85,29.02
9,new super mario bros. wii,Wii,2009.0,Platform,Nintendo,14.59,7.06,4.7,2.26,28.62
10,duck hunt,Nes,1984.0,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31
11,nintendogs,Ds,2005.0,Simulation,Nintendo,9.07,11.0,1.93,2.75,24.76
12,mario kart ds,Ds,2005.0,Racing,Nintendo,9.81,7.57,4.13,1.92,23.42
13,pokemon gold/pokemon silver,Gb,1999.0,Role-Playing,Nintendo,9.0,6.18,7.2,0.71,23.1
14,wii fit,Wii,2007.0,Sports,Nintendo,8.94,8.03,3.6,2.15,22.72
15,wii fit plus,Wii,2009.0,Sports,Nintendo,9.09,8.59,2.53,1.79,22.0
16,kinect adventures!,X360,2010.0,Misc,Microsoft Game Studios,14.97,4.94,0.24,1.67,21.82
17,grand theft auto v,Ps3,2013.0,Action,Take-Two Interactive,7.01,9.27,0.97,4.14,21.4
18,grand theft auto: san andreas,Ps2,2004.0,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81
19,super mario world,Snes,1990.0,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61
20,brain age: train your brain in minutes a day,Ds,2005.0,Misc,Nintendo,4.75,9.26,4.16,2.05,20.22
21,pokemon diamond/pokemon pearl,Ds,2006.0,Role-Playing,Nintendo,6.42,4.52,6.04,1.37,18.36
22,super mario land,Gb,1989.0,Platform,Nintendo,10.83,2.71,4.18,0.42,18.14
23,super mario bros. 3,Nes,1988.0,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28
24,grand theft auto v,X360,2013.0,Action,Take-Two Interactive,9.63,5.31,0.06,1.38,16.38
25,grand theft auto: vice city,Ps2,2002.0,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15
26,pokemon ruby/pokemon sapphire,Gba,2002.0,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85
27,pokemon black/pokemon white,Ds,2010.0,Role-Playing,Nintendo,5.57,3.28,5.65,0.82,15.32
28,brain age 2: more training in minutes a day,Ds,2005.0,Puzzle,Nintendo,3.44,5.36,5.32,1.18,15.3
